name,email,password,phone_number,nid,role
frluserc1,frluserc1@frl.com,1234,13265897561,1234567891,Customer
frluserc2,frluserc2@frl.com,1234,13265897562,1234567892,Customer
frluserc3,frluserc3@frl.com,1234,13265897563,1234567893,Customer
frluserc4,frluserc4@frl.com,1234,13265897564,1234567894,Customer
frluserc5,frluserc5@frl.com,1234,13265897565,1234567895,Customer
frluserc6,frluserc6@frl.com,1234,13265897566,1234567895,Customer
frluserc7,frluserc7@frl.com,1234,13265897567,1234567895,Customer
frluserc8,frluserc8@frl.com,1234,13265897568,1234567895,Customer
frluserc9,frluserc9@frl.com,1234,13265897569,1234567895,Customer
frluserc10,frluserc10@frl.com,1234,13265897570,1234567895,Customer
frluseragent1,frluseragent1@frl.com,1234,13265897571,1234567895,Agent
frluseragent2,frluseragent2@frl.com,1234,13265897572,1234567895,Agent
frluseragent3,frluseragent3@frl.com,1234,13265897573,1234567895,Agent
frluseragent4,frluseragent4@frl.com,1234,13265897574,1234567895,Agent
frluseragent5,frluseragent5@frl.com,1234,13265897575,1234567895,Agent
frluserm1,frluserm1@frl.com,1234,13265897576,1234567895,Merchant
frluserm2,frluserm2@frl.com,1234,13265897577,1234567895,Merchant
